,team_id,season,player_id,full_name,first_name,last_name,jersey_number,position,position_code
330,10,2016,8475098,Tyler Bozak,Tyler,Bozak,21,Center,C
331,10,2016,8475172,Nazem Kadri,Nazem,Kadri,91,Center,C
332,10,2016,8475278,Byron Froese,Byron,Froese,51,Center,C
333,10,2016,8475716,Martin Marincin,Martin,Marincin,52,Defenseman,D
334,10,2016,8475786,Zach Hyman,Zach,Hyman,18,Left Wing,LW
335,10,2016,8476289,Alexey Marchenko,Alexey,Marchenko,3,Defenseman,D
336,10,2016,8476302,Frank Corrado,Frank,Corrado,18,Defenseman,D
337,10,2016,8476410,Josh Leivo,Josh,Leivo,17,Left Wing,LW
338,10,2016,8476495,Seth Griffith,Seth,Griffith,23,Center,C
339,10,2016,8476853,Morgan Rielly,Morgan,Rielly,44,Defenseman,D
340,10,2016,8476941,Connor Carrick,Connor,Carrick,36,Defenseman,D
341,10,2016,8477015,Connor Brown,Connor,Brown,28,Right Wing,RW
342,10,2016,8477512,Frederik Gauthier,Frederik,Gauthier,38,Center,C
343,10,2016,8477939,William Nylander,William,Nylander,88,Right Wing,RW
344,10,2016,8477953,Kasperi Kapanen,Kasperi,Kapanen,42,Right Wing,RW
345,10,2016,8478373,Nikita Soshnikov,Nikita,Soshnikov,41,Right Wing,RW
346,10,2016,8478483,Mitchell Marner,Mitchell,Marner,16,Right Wing,RW
347,10,2016,8479318,Auston Matthews,Auston,Matthews,34,Center,C
348,10,2016,8479458,Nikita Zaitsev,Nikita,Zaitsev,22,Defenseman,D
349,10,2016,8470147,Curtis McElhinney,Curtis,McElhinney,35,Goalie,G
350,10,2016,8473523,Jhonas Enroth,Jhonas,Enroth,31,Goalie,G
351,10,2016,8475883,Frederik Andersen,Frederik,Andersen,31,Goalie,G
352,10,2016,8477312,Antoine Bibeau,Antoine,Bibeau,30,Goalie,G
353,12,2016,8468493,Ron Hainsey,Ron,Hainsey,81,Defenseman,D
